Nazwa oferty,Link oferty pracy,Który link,Data
Analityk / -czka systemów IT (Business Analyst),"https://www.pracuj.pl/praca/analityk-czka-systemow-it-business-analyst-bialystok,oferta,1001099061",Inne,opublikowana: 1 sierpnia 2021
Ekspert ds. analizy p³atnoœci na potrzeby przeciwdzia³ania praniu pieniêdzy (pierwsza linia wsparcia),"https://www.pracuj.pl/praca/ekspert-ds-analizy-platnosci-na-potrzeby-przeciwdzialania-praniu-pieniedzy-pierw-lodz,oferta,1001080620",Inne,opublikowana: 1 sierpnia 2021
Programista DAX,"https://www.pracuj.pl/praca/programista-dax-zamienie-pow-piaseczynski-gm-lesznowola,oferta,1001090222",Inne,opublikowana: 1 sierpnia 2021
Junior Software Developer,"https://www.pracuj.pl/praca/junior-software-developer-lower-silesia,oferta,8239310",Inne,opublikowana: 1 sierpnia 2021
Junior Risk Research Analyst,"https://www.pracuj.pl/praca/junior-risk-research-analyst-wroclaw,oferta,1001092720",Inne,opublikowana: 1 sierpnia 2021
Data Analyst CDA team (m/f),"https://www.pracuj.pl/praca/data-analyst-cda-team-m-f-krakow,oferta,1001067876",Inne,opublikowana: 1 sierpnia 2021
M³odszy Programista Cobol,"https://www.pracuj.pl/praca/mlodszy-programista-cobol-warszawa,oferta,1001089036",Inne,opublikowana: 1 sierpnia 2021
Analityk Systemów Informatycznych,"https://www.pracuj.pl/praca/analityk-systemow-informatycznych-gdynia,oferta,1001088932",Inne,opublikowana: 1 sierpnia 2021
Software Trainer & Consultant with German,"https://www.pracuj.pl/praca/software-trainer-consultant-with-german-lower-silesia,oferta,8231122",Inne,opublikowana: 31 lipca 2021
Programista / - ka iOS,"https://www.pracuj.pl/praca/programista-ka-ios-bialystok,oferta,1001088554",Inne,opublikowana: 31 lipca 2021
(Cybersecurity Analyst) Cybersecurity Analyst,"https://www.pracuj.pl/praca/cybersecurity-analyst-cybersecurity-analyst-krakow,oferta,1001096260",Inne,opublikowana: 31 lipca 2021
Analityk Systemowy,"https://www.pracuj.pl/praca/analityk-systemowy-warszawa,oferta,1001062465",Inne,opublikowana: 31 lipca 2021
Python Developer (Core Team) ,"https://www.pracuj.pl/praca/python-developer-core-team-dolnoslaskie,oferta,8233782",Inne,opublikowana: 31 lipca 2021
M³odszy Analityk Wsparcia Aplikacji,"https://www.pracuj.pl/praca/mlodszy-analityk-wsparcia-aplikacji-wroclaw,oferta,1001096146",Inne,opublikowana: 31 lipca 2021
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa,oferta,1001090032",Inne,opublikowana: 31 lipca 2021
Industry X Analyst / Consultant / Manager (CN),"https://www.pracuj.pl/praca/industry-x-analyst-consultant-manager-cn-krakow,oferta,1001068299",Inne,opublikowana: 31 lipca 2021
M³odszy Tester Oprogramowania,"https://www.pracuj.pl/praca/mlodszy-tester-oprogramowania-wroclaw,oferta,1001089934",Inne,opublikowana: 31 lipca 2021
M³odszy Techniczny Analityk Biznesowy,"https://www.pracuj.pl/praca/mlodszy-techniczny-analityk-biznesowy-wroclaw,oferta,1001089932",Inne,opublikowana: 31 lipca 2021
Analityk Danych E-commerce,"https://www.pracuj.pl/praca/analityk-danych-e-commerce-bialystok,oferta,1001067594",Inne,opublikowana: 31 lipca 2021
Junior Risk Analyst / Fund Investment Industry,"https://www.pracuj.pl/praca/junior-risk-analyst-fund-investment-industry-dolnoslaskie,oferta,8240826",Inne,opublikowana: 31 lipca 2021
Regulatory Fund Reporting Analyst,"https://www.pracuj.pl/praca/regulatory-fund-reporting-analyst-dolnoslaskie,oferta,8240870",Inne,opublikowana: 31 lipca 2021
Financial Risk Solutions Analyst / Fund Investment Industry,"https://www.pracuj.pl/praca/financial-risk-solutions-analyst-fund-investment-industry-dolnoslaskie,oferta,8240848",Inne,opublikowana: 31 lipca 2021
Specjalista ds. rekrutacji IT,"https://www.pracuj.pl/praca/specjalista-ds-rekrutacji-it-wroclaw,oferta,1001103762",Inne,opublikowana: 31 lipca 2021
Digital Analyst - Analityk internetowy,"https://www.pracuj.pl/praca/digital-analyst-analityk-internetowy-lublin-biala-podlaska-chelm-zamosc,oferta,500122113",Inne,opublikowana: 30 lipca 2021
Investment Banking Analyst,"https://www.pracuj.pl/praca/investment-banking-analyst-warszawa,oferta,500122142",Inne,opublikowana: 30 lipca 2021
Amazing IT Talent Recruiter,"https://www.pracuj.pl/praca/amazing-it-talent-recruiter-dolnoslaskie,oferta,500122381",Inne,opublikowana: 30 lipca 2021
Tester,"https://www.pracuj.pl/praca/tester-warszawa,oferta,1001083046",Inne,opublikowana: 30 lipca 2021
Analityk/Architekt Systemów,"https://www.pracuj.pl/praca/analityk-architekt-systemow-warszawa,oferta,1001103814",Inne,opublikowana: 30 lipca 2021
Supply Chain Management Analyst / Consultant (CN),"https://www.pracuj.pl/praca/supply-chain-management-analyst-consultant-cn-krakow,oferta,1001092894",Inne,opublikowana: 30 lipca 2021
Digital Finance - BlackLine Analyst / Consultant (CN),"https://www.pracuj.pl/praca/digital-finance-blackline-analyst-consultant-cn-krakow,oferta,1001092706",Inne,opublikowana: 30 lipca 2021
In¿ynier IT,"https://www.pracuj.pl/praca/inzynier-it-mszczonow,oferta,1001085577",Inne,opublikowana: 30 lipca 2021
Customer Experience Analyst/ Consultant (CN),"https://www.pracuj.pl/praca/customer-experience-analyst-consultant-cn-krakow,oferta,1001065658",Inne,opublikowana: 30 lipca 2021
Analityk biznesowo-systemowy,"https://www.pracuj.pl/praca/analityk-biznesowo-systemowy-sopot,oferta,1001085116",Inne,opublikowana: 30 lipca 2021
Automotive Industry Analyst/ Consultant – German speaking (CN),"https://www.pracuj.pl/praca/automotive-industry-analyst-consultant-german-speaking-cn-krakow,oferta,1001064940",Inne,opublikowana: 30 lipca 2021
Cloud IT Architect ,"https://www.pracuj.pl/praca/cloud-it-architect-warszawa,oferta,1001064274",Inne,opublikowana: 30 lipca 2021
Contract Analyst,"https://www.pracuj.pl/praca/contract-analyst-lower-silesia,oferta,8231805",Inne,opublikowana: 30 lipca 2021
Software Test Engineer with English,"https://www.pracuj.pl/praca/software-test-engineer-with-english-lower-silesia,oferta,8231764",Inne,opublikowana: 30 lipca 2021
Test Manager,"https://www.pracuj.pl/praca/test-manager-lower-silesia,oferta,8231726",Inne,opublikowana: 30 lipca 2021
Tests Automation Engineer,"https://www.pracuj.pl/praca/tests-automation-engineer-lower-silesia,oferta,8231706",Inne,opublikowana: 30 lipca 2021
Informatyk - Specjalista ds. e-commerce,"https://www.pracuj.pl/praca/informatyk-specjalista-ds-e-commerce-tczew,oferta,500128667",Inne,opublikowana: 29 lipca 2021
In¿ynier ds. Testów,"https://www.pracuj.pl/praca/inzynier-ds-testow-gdansk,oferta,1001100900",Inne,opublikowana: 29 lipca 2021
Konsultant ds. wdro¿eñ oprogramowania Atlassian,"https://www.pracuj.pl/praca/konsultant-ds-wdrozen-oprogramowania-atlassian-dolnoslaskie,oferta,500121528",Inne,opublikowana: 29 lipca 2021
"Pentesterka / Pentester WWW, Security Ninja","https://www.pracuj.pl/praca/pentesterka-pentester-www-security-ninja-dolnoslaskie,oferta,500121788",Inne,opublikowana: 29 lipca 2021
Programista - Developer PHP,"https://www.pracuj.pl/praca/programista-developer-php-tarnowskie-gory,oferta,500123799",Inne,opublikowana: 29 lipca 2021
Programista Systemów Wbudowanych,"https://www.pracuj.pl/praca/programista-systemow-wbudowanych-krakow,oferta,1001076686",Inne,opublikowana: 29 lipca 2021
Konsultant ds. rekrutacji IT,"https://www.pracuj.pl/praca/konsultant-ds-rekrutacji-it-warszawa,oferta,1001071448",Inne,opublikowana: 29 lipca 2021
Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-katowice,oferta,1001056802",Inne,opublikowana: 29 lipca 2021
Programista BI,"https://www.pracuj.pl/praca/programista-bi-lodz,oferta,1001101473",Inne,opublikowana: 29 lipca 2021
Senior Business Systems Analyst,"https://www.pracuj.pl/praca/senior-business-systems-analyst-warszawa,oferta,1001101208",Inne,opublikowana: 29 lipca 2021
IT Recruiter / Senior IT Recruiter,"https://www.pracuj.pl/praca/it-recruiter-senior-it-recruiter-krakow,oferta,1001100944",Inne,opublikowana: 29 lipca 2021
Database Developer ,"https://www.pracuj.pl/praca/database-developer-warszawa,oferta,1001085775",Inne,opublikowana: 29 lipca 2021
Test Automation Engineer,"https://www.pracuj.pl/praca/test-automation-engineer-warszawa,oferta,1001076881",Inne,opublikowana: 29 lipca 2021
Senior Software Tester (Web) ,"https://www.pracuj.pl/praca/senior-software-tester-web-bydgoszcz,oferta,1001076279",Inne,opublikowana: 29 lipca 2021
(MSS IT) Technical Team Lead | Tim,"https://www.pracuj.pl/praca/mss-it-technical-team-lead-tim-krakow,oferta,1001085450",Inne,opublikowana: 29 lipca 2021
Kierownik projektu IT,"https://www.pracuj.pl/praca/kierownik-projektu-it-dolnoslaskie,oferta,8244612",Inne,opublikowana: 29 lipca 2021
Tester Automatyzuj¹cy,"https://www.pracuj.pl/praca/tester-automatyzujacy-mazowieckie,oferta,8271369",Inne,opublikowana: 29 lipca 2021
Data Management Specialist,"https://www.pracuj.pl/praca/data-management-specialist-malopolskie,oferta,500128360",Inne,opublikowana: 29 lipca 2021
Tester Automatyzuj¹cy,"https://www.pracuj.pl/praca/tester-automatyzujacy-lublin,oferta,1001099265",Inne,opublikowana: 28 lipca 2021
UI/UX Designer (Ecommerce),"https://www.pracuj.pl/praca/ui-ux-designer-ecommerce-biala-podlaska-chelm-lublin-zamosc,oferta,500122760",Inne,opublikowana: 28 lipca 2021
Senior programista - UE4/C++,"https://www.pracuj.pl/praca/senior-programista-ue4-c++-krakow,oferta,500128294",Inne,opublikowana: 28 lipca 2021
Senior Software Engineer,"https://www.pracuj.pl/praca/senior-software-engineer-gliwice,oferta,1001083517",Inne,opublikowana: 28 lipca 2021
Software Developer (Blockchain),"https://www.pracuj.pl/praca/software-developer-blockchain-lesser-poland,oferta,8229714",Inne,opublikowana: 28 lipca 2021
(MSS IT) Risk & Control Officer – Equities ,"https://www.pracuj.pl/praca/mss-it-risk-control-officer-equities-krakow,oferta,1001074082",Inne,opublikowana: 28 lipca 2021
(MSS IT) 	Full Stack Engineer in Falcon Risk ,"https://www.pracuj.pl/praca/mss-it-full-stack-engineer-in-falcon-risk-krakow,oferta,1001074065",Inne,opublikowana: 28 lipca 2021
 Software Developer C#,"https://www.pracuj.pl/praca/software-developer-c%23-dolnoslaskie,oferta,8249029",Inne,opublikowana: 28 lipca 2021
M³odszy analityk finansowy / Analityk finansowy,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-analityk-finansowy-lubelskie,oferta,8242057",Inne,opublikowana: 28 lipca 2021
Python Developer,"https://www.pracuj.pl/praca/python-developer-lower-silesia,oferta,8256871",Inne,opublikowana: 28 lipca 2021
SAP BusinessObjects - Data Services Engineer (Digital),"https://www.pracuj.pl/praca/sap-businessobjects-data-services-engineer-digital-lower-silesia,oferta,8251398",Inne,opublikowana: 28 lipca 2021
Big Data Architect,"https://www.pracuj.pl/praca/big-data-architect-lower-silesia,oferta,8251379",Inne,opublikowana: 28 lipca 2021
Quality Analyst with English and Italian,"https://www.pracuj.pl/praca/quality-analyst-with-english-and-italian-poznan,oferta,1001073609",Inne,opublikowana: 28 lipca 2021
Big Data Engineer,"https://www.pracuj.pl/praca/big-data-engineer-krakow,oferta,1001052518",Inne,opublikowana: 28 lipca 2021
Tester Oprogramowania,"https://www.pracuj.pl/praca/tester-oprogramowania-dolnoslaskie,oferta,8241417",Inne,opublikowana: 28 lipca 2021
Software Developer,"https://www.pracuj.pl/praca/software-developer-dolnoslaskie,oferta,8227614",Inne,opublikowana: 28 lipca 2021
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-kujawsko-pomorskie,oferta,8224408",Inne,opublikowana: 28 lipca 2021
IT Project Manager - IT Integration Manager,"https://www.pracuj.pl/praca/it-project-manager-it-integration-manager-gdansk,oferta,500125681",Inne,opublikowana: 27 lipca 2021
Konsultant ds. Programowania Devops,"https://www.pracuj.pl/praca/konsultant-ds-programowania-devops-mazowieckie,oferta,8267213",Inne,opublikowana: 27 lipca 2021
Tester/-ka automatyzuj¹cy/-a,"https://www.pracuj.pl/praca/tester-ka-automatyzujacy-a-warszawa,oferta,1001050087",Inne,opublikowana: 27 lipca 2021
Azure Data / ETL Developer,"https://www.pracuj.pl/praca/azure-data-etl-developer-warszawa,oferta,1001085721",Inne,opublikowana: 27 lipca 2021
Business Analyst,"https://www.pracuj.pl/praca/business-analyst-warszawa,oferta,1001069099",Inne,opublikowana: 27 lipca 2021
IT Support Agent with Danish,"https://www.pracuj.pl/praca/it-support-agent-with-danish-katowice,oferta,1001058963",Inne,opublikowana: 27 lipca 2021
Senior Azure Data /ETL Developer,"https://www.pracuj.pl/praca/senior-azure-data-etl-developer-warszawa,oferta,1001085660",Inne,opublikowana: 27 lipca 2021
Security Specialist - Configuration Compliance Scanning - IT Center,"https://www.pracuj.pl/praca/security-specialist-configuration-compliance-scanning-it-center-czestochowa,oferta,1001058406",Inne,opublikowana: 27 lipca 2021
M³odszy Programista Embedded - M³odszy Specjalista FPGA - rynek wojskowy i cywilny ,"https://www.pracuj.pl/praca/mlodszy-programista-embedded-mlodszy-specjalista-fpga-rynek-wojskowy-i-cywilny-warszawa,oferta,1001085223",Inne,opublikowana: 27 lipca 2021
Tester Manualny,"https://www.pracuj.pl/praca/tester-manualny-wroclaw,oferta,1001055599",Inne,opublikowana: 27 lipca 2021
Software Engineer - PHP,"https://www.pracuj.pl/praca/software-engineer-php-dolnoslaskie,oferta,8237865",Inne,opublikowana: 27 lipca 2021
Analityk Biznesowy (IT),"https://www.pracuj.pl/praca/analityk-biznesowy-it-warszawa,oferta,1001084456",Inne,opublikowana: 27 lipca 2021
Java Software Engineer II,"https://www.pracuj.pl/praca/java-software-engineer-ii-katowice,oferta,1001047649",Inne,opublikowana: 27 lipca 2021
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa,oferta,1001094835",Inne,opublikowana: 27 lipca 2021
Data Analysta with Business drive,"https://www.pracuj.pl/praca/data-analysta-with-business-drive-lublin,oferta,1001094816",Inne,opublikowana: 27 lipca 2021
Praktykant w obszarze Data Labelling z jêzykiem holenderskim lub szwedzkim,"https://www.pracuj.pl/praca/praktykant-w-obszarze-data-labelling-z-jezykiem-holenderskim-lub-szwedzkim-lodz,oferta,1001056803",Inne,opublikowana: 26 lipca 2021
Tester gier - Doradca,"https://www.pracuj.pl/praca/tester-gier-doradca-warszawa,oferta,500127471",Inne,opublikowana: 26 lipca 2021
Training & Quality Assurance Specialist with German (IT Service Desk),"https://www.pracuj.pl/praca/training-quality-assurance-specialist-with-german-it-service-desk-krakow,oferta,1001076973",Inne,opublikowana: 26 lipca 2021
Assistant Team Leader with German (IT Service Desk),"https://www.pracuj.pl/praca/assistant-team-leader-with-german-it-service-desk-krakow,oferta,1001076982",Inne,opublikowana: 26 lipca 2021
IT Service Desk Manager with German,"https://www.pracuj.pl/praca/it-service-desk-manager-with-german-krakow,oferta,1001076994",Inne,opublikowana: 26 lipca 2021
Ecommerce Content Strategist,"https://www.pracuj.pl/praca/ecommerce-content-strategist-warszawa,oferta,1001055535",Inne,opublikowana: 26 lipca 2021
IT Network Engineer - 2nd Level Support (m/w/d) ,"https://www.pracuj.pl/praca/it-network-engineer-2nd-level-support-m-w-d-germany,oferta,8215698",Inne,opublikowana: 26 lipca 2021
Administrator IT,"https://www.pracuj.pl/praca/administrator-it-dolnoslaskie,oferta,8218995",Inne,opublikowana: 26 lipca 2021
Security Test Engineer,"https://www.pracuj.pl/praca/security-test-engineer-zielona-gora,oferta,1001066891",Inne,opublikowana: 26 lipca 2021
Senior Software Integration Engineer,"https://www.pracuj.pl/praca/senior-software-integration-engineer-krakow,oferta,1001050377",Inne,opublikowana: 26 lipca 2021
Tester oprogramowania ,"https://www.pracuj.pl/praca/tester-oprogramowania-krakow,oferta,1001048134",Inne,opublikowana: 25 lipca 2021
Analityk Finansowy,"https://www.pracuj.pl/praca/analityk-finansowy-warszawa,oferta,1001052742",Inne,opublikowana: 25 lipca 2021
Software Developer (C++),"https://www.pracuj.pl/praca/software-developer-c++-jasionka-pow-rzeszowski,oferta,1001050072",Inne,opublikowana: 24 lipca 2021
Konsultant ds. obs³ugi kandydata z niemieckim i angielskim / czêœæ etatu,"https://www.pracuj.pl/praca/konsultant-ds-obslugi-kandydata-z-niemieckim-i-angielskim-czesc-etatu-dolnoslaskie,oferta,8228006",Inne,opublikowana: 24 lipca 2021
Starszy Programista - Developer C# lub ASP.NET,"https://www.pracuj.pl/praca/starszy-programista-developer-c%23-lub-asp-net-jelenia-gora,oferta,1001072197",Inne,opublikowana: 24 lipca 2021
Specjalista ds. Analizy Danych Ryzyka Klientów MSP i AGRO,"https://www.pracuj.pl/praca/specjalista-ds-analizy-danych-ryzyka-klientow-msp-i-agro-poznan,oferta,1001066696",Inne,opublikowana: 1 sierpnia 2021
Junior Pentester (M³odszy Specjalista/M³odsza Specjalistka),"https://www.pracuj.pl/praca/junior-pentester-mlodszy-specjalista-mlodsza-specjalistka-warszawa,oferta,1001072125",Inne,opublikowana: 1 sierpnia 2021
Securities Operations Junior Analyst,"https://www.pracuj.pl/praca/securities-operations-junior-analyst-krakow,oferta,1001081347",Inne,opublikowana: 1 sierpnia 2021
M³odszy Analityk Dokumentowy ,"https://www.pracuj.pl/praca/mlodszy-analityk-dokumentowy-bialystok,oferta,1001098578",Inne,opublikowana: 1 sierpnia 2021
Data Analyst (US time),"https://www.pracuj.pl/praca/data-analyst-us-time-lower-silesia,oferta,8238800",Inne,opublikowana: 1 sierpnia 2021
M³odszy Konsultant PP – programista ABAP,"https://www.pracuj.pl/praca/mlodszy-konsultant-pp-programista-abap-poznan,oferta,1001068215",Inne,opublikowana: 1 sierpnia 2021
M³odszy Specjalista w Dziale Planowania i Analiz,"https://www.pracuj.pl/praca/mlodszy-specjalista-w-dziale-planowania-i-analiz-sopot,oferta,1001097890",Inne,opublikowana: 1 sierpnia 2021
Decode IT 2.0: CodeBreaker – Konkurs dla programistów i programistek,"https://www.pracuj.pl/praca/decode-it-2-0-codebreaker-konkurs-dla-programistow-i-programistek-dolnoslaskie,oferta,8102826",Inne,opublikowana: 1 sierpnia 2021
Programista Angular,"https://www.pracuj.pl/praca/programista-angular-gdansk,oferta,1001064654",Inne,opublikowana: 1 sierpnia 2021
Junior IT Administrator,"https://www.pracuj.pl/praca/junior-it-administrator-katowice,oferta,1001089363",Inne,opublikowana: 1 sierpnia 2021
